Date,Price
2020-01-01,7194.89209
2020-02-01,9346.357422
2020-03-01,8599.758789
2020-04-01,6437.319336
2020-05-01,8672.782227
2020-06-01,9463.605469
2020-07-01,9145.985352
2020-08-01,11322.570313
2020-09-01,11679.316406
2020-10-01,10795.254883
2020-11-01,13780.995117
2020-12-01,19633.769531
2021-01-01,28994.009766
2021-02-01,33114.578125
2021-03-01,45159.503906
2021-04-01,58926.5625
2021-05-01,57714.664063
2021-06-01,37293.792969
2021-07-01,35035.984375
2021-08-01,41460.84375
2021-09-01,47099.773438
2021-10-01,43816.742188
2021-11-01,61320.449219
2021-12-01,56907.964844
2022-01-01,46311.746094
2022-02-01,38481.765625
2022-03-01,43194.503906
2022-04-01,45554.164063
2022-05-01,37713.265625
2022-06-01,31792.554688
2022-07-01,19820.470703
2022-08-01,23336.71875
2022-09-01,20050.498047
2022-10-01,19431.105469
2022-11-01,20494.898438
2022-12-01,17168.001953
2023-01-01,16547.914063
2023-02-01,23137.835938
2023-03-01,23150.929688
2023-04-01,28473.332031
2023-05-01,29227.103516
2023-06-01,27218.412109
2023-07-01,30471.847656
2023-08-01,29230.873047
2023-09-01,25934.021484
2023-10-01,26967.396484
2023-11-01,34657.273438
2023-12-01,37718.007813
2024-01-01,42280.234375
2024-02-01,42569.761719
2024-02-11,47768.96875
