,ACME Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Price List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Date of Last Update: Feb 3, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,Description,Type,Package/Line_Level,Gross charge,Discounted cash price,De-identified min contracted rate,De-identified max contracted rate,Derived contracted rate,Acadia-Commercial other,Admin Concepts-Commercial other,Aetna-Commercial other,Aetna-Commercial HMO/POS,Aetna-Commercial PPO/Open Access,Aetna-Medicare Advantage HMO,AFFINITY HEALTH PLAN-Commercial other,AG ADMINISTRATORS-Commercial other,AMBETTER-Commercial other,AMER NATL INS CO PPO-Commercial PPO/Open Access,AMER POSTAL WORKERS-Commercial other,AMER PROG LIFE HEALT-Commercial other,AMERICHOICE-Commercial other,AMERIGROUP-Medicare Advantage HMO,AMERIHEALTH CARITAS-Medicaid HMO,AMGP GA MEDICAID-Medicaid HMO,AMH HLTH ME MCR WLP-Medicare Advantage HMO,ANTHEM INS  CO MCR-Commercial other,ASR HEALTH BENEFITS,ASR HEALTH BENEFITS-Commercial PPO/Open Access,AVMED INC-Commercial other,BAYLOR HEALTH PLAN-Commercial other,BEACON HEALTH OPT-Commercial other,BENEFIT ADMIN SYSTEM-Commercial other,BENEFIT PL CIGNA PPO-Commercial PPO/Open Access,BERKLEY ENTERTAIN-Commercial other,BERKLEY ENVIRONMENT-Commercial other,BLUE CROSS-Commercial PPO/Open Access,BLUE CROSS-Commercial other,BOON CHAPMAN-Commercial other,WELLSENSE-Commercial other,CIGNA-Commercial other,CIGNA-Commercial PPO/Open Access,CIGNA-Commercial HMO/POS,CLEAR HEALTH ALLIAN-Commercial other,CONCENTRIX-Commercial other,CONNECTICARE-Commercial other,CORRECT CARE-Commercial other,COVID18 HRSA UNINSURED TESTING AND TREATMENT FUND HHS COVID18 UNINSURED,CRUM FORSTER MA-Commercial other,DIVERSIFIED ADMIN-Commercial other,DXC    RI MEDICAID-Medicaid HMO,EAST ALLI INS GRP NH-Commercial other,EBMS-Commercial other,ELEMENT CARE-Medicare Advantage HMO,ELLIS HOSPITAL-Commercial other,EMBLEMHEALTH-Commercial other,EMPLOYEE CIGNAHLTH-Commercial other,ERIE INSURANCE-Commercial other,EVERNORTH-Commercial other,EVERNORTH-Commercial PPO/Open Access,FCE BENEFITS-Commercial other,FALLON-Commercial other,FREE MARKET ADMIN-Commercial PPO/Open Access,GALLAGHER BASSETT-Commercial other,GILSBAR-Commercial other,GREATWEST-Commercial other,GREATWEST-Commercial HMO/POS,GREATWEST-Commercial PPO/Open Access,GROUP ADMIN-Commercial other,H W INDEMNITY-Commercial other,HARMONY HEALTH PLAN-Commercial other,HARVARD PILGRIM-Commercial other,HEALTH ADMIN CENTER-Commercial other,HEALTH COST SOLUTION-Commercial other,HEALTH NET-Commercial other,HEALTH PLANS INC-Commercial other,HEALTHCOMP-Commercial other,HEALTHPARTNERS-Medicare Advantage HMO,HEALTHSCOPE BENEFITS-Commercial other,HIGHMARK-Commercial other,HMAA-Commercial other,HOME STATE HEALTH PL-Commercial other,HUMANA-Medicaid HMO,HUMANA-Commercial other,HUMANA-Medicare Advantage HMO,HUMANA-Commercial PPO/Open Access,INDECS-Commercial other,IHA-Commercial other,KAISER HEALTH PLAN-Commercial other,KEYSTON FIRST-Commercial other,LA CARE,MARTINS POINT-Commercial other,MEDICA-Commercial other,MERITAIN-Commercial PPO/Open Access,MERITAIN-Commercial HMO/POS,MERITAIN-Commercial other,MMM OF FL-Commercial other,MOLINA HEALTHCARE-Medicare Advantage HMO,MVP HEALTH-Medicare Advantage HMO,MEDICARE-Medicare,NEIGHBORHOOD PLAN RI-Commercial other,NH HEALTHY FAMILIES-Medicaid HMO,NEXT LEVEL ADMIN-Commercial other,NIPPON LIFE BENEFITS-Commercial other,NOVA HEALTHCARE-Commercial other,OPTIMUM CHOICE INC-Commercial other,OPTUM VA-Commercial other,OXFORD HEALTH-Commercial other,OXFORD HEALTH-Commercial HMO/POS,PARADIGM MGMT-Commercial other,PATIENT ADVOCATES-Commercial other,PERFORMANCE HEALTH-Commercial other,PREMIER ADMIN-Commercial other,PROCTOR   GAMBLE-Commercial other,PROVIDENCE HEALTH-Commercial other,SANA BENEFITS-Commercial other,SELECT HEALTH-Commercial other,SELECTIVE INSURANCE-Commercial other,SENIOR WHOLE HEALTH-Medicare Advantage HMO,SIMPLY HEALTHCARE-Medicare Advantage HMO,SOMPO-Commercial other,SOVEREIGN NATIONS-Commercial other,STAFF BENEFIT MGMT-Commercial other,SUNSHINE STATE-Commercial other,TALL TREE ADMIN-Commercial other,TOTAL HEALTH PLAN-Commercial other,TRICARE-Commercial other,TRISTAR RISK MGMT-Commercial other,TRITON HEALTHCARE-Commercial other,TRUSTMARK-Commercial other,ULTRA BENEFITS-Commercial other,UMR-Commercial other,UNITED HEALTH CARE-Commercial other,UNITED HEALTH CARE-Medicare Advantage HMO,UNITED HEALTH CARE-Commercial HMO/POS,UNITED HEALTH CARE-Commercial PPO/Open Access,UNITED HEALTH CARE-Medicaid HMO,VETERAN FAMILY PROGR-Commercial other,WELLCARE-Medicare Advantage HMO,WELLFLEET-Commercial other,WELLMED-Commercial other,WPS-Commercial other
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",Outpatient,Line,827.52,549.93,252.28,1742.25,613.27,N/A,N/A,N/A,446.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,577.76,N/A,223.46,542.42,672,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1262.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,267.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1742.25,N/A,N/A,N/A,658.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,652.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,723.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,672,493.13,N/A,1257.12,422.28,N/A,268.17,N/A,N/A,N/A
10006,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, EACH ADDITIONAL GROWTH",Outpatient,Line,476,319.8,199.71,199.71,199.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,199.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10007,"FINE NEEDLE ASPIRATION BIOPSY USING FLUOROSCOPIC GUIDANCE, FIRST GROWTH",Outpatient,Line,672,436.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH",Outpatient,Line,672,436.3,77.42,672,224.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,195.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,672,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,262.62,647.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
